1543 68.55 68.55 0.30 0.50 0.20 0.30 0.30 0.40 5 0 0
1544 65.00 66.27 0.30 0.10 0.60 0.10 0.40 0.50 1 1 2
1545 73.45 68.09 0.70 0.00 0.30 0.50 0.30 0.20 3 1 1
1546 69.64 69.00 0.30 0.10 0.60 0.40 0.40 0.20 2 2 1
1547 72.27 65.45 0.60 0.30 0.10 0.10 0.40 0.50 3 0 2
1548 68.91 69.73 0.20 0.30 0.50 0.50 0.30 0.20 1 2 1
1549 65.64 67.82 0.30 0.30 0.40 0.40 0.10 0.50 0 4 0
1550 68.00 74.45 0.40 0.30 0.30 0.50 0.40 0.10 0 3 2
1551 64.18 69.82 0.20 0.30 0.50 0.40 0.10 0.50 0 3 2
1552 65.73 66.45 0.30 0.10 0.60 0.30 0.20 0.50 2 0 0
1553 73.64 65.91 0.50 0.40 0.10 0.10 0.30 0.60 3 0 2
1554 70.73 73.73 0.40 0.10 0.50 0.70 0.20 0.10 2 2 1
1555 68.91 72.64 0.30 0.20 0.50 0.70 0.00 0.30 1 2 2
1556 68.55 69.36 0.40 0.30 0.30 0.30 0.20 0.50 1 2 2
1557 68.55 65.73 0.30 0.50 0.20 0.30 0.10 0.60 2 3 0
1558 69.09 69.27 0.40 0.30 0.30 0.30 0.10 0.60 1 2 2
1559 67.09 70.55 0.10 0.40 0.50 0.50 0.30 0.20 1 3 0
1560 67.00 66.73 0.30 0.20 0.50 0.30 0.40 0.30 1 1 0
1561 72.55 67.00 0.80 0.00 0.20 0.40 0.30 0.30 3 0 2
1562 72.73 68.18 0.80 0.10 0.10 0.40 0.20 0.40 1 2 2
1563 70.55 74.36 0.40 0.00 0.60 0.50 0.40 0.10 0 2 3
1564 69.64 67.73 0.50 0.30 0.20 0.30 0.10 0.60 0 1 1
1565 67.00 69.09 0.40 0.40 0.20 0.30 0.10 0.60 0 3 1
1566 69.55 68.18 0.40 0.10 0.50 0.40 0.40 0.20 3 1 1
1567 65.36 67.09 0.10 0.20 0.70 0.10 0.30 0.60 2 1 1
1568 65.00 69.36 0.30 0.10 0.60 0.40 0.20 0.40 0 4 1
1569 74.36 69.82 0.50 0.40 0.10 0.40 0.30 0.30 2 1 1
1570 70.55 72.91 0.40 0.30 0.30 0.80 0.00 0.20 1 4 0
1571 69.00 69.55 0.40 0.10 0.50 0.40 0.10 0.50 1 3 1
1572 67.55 65.00 0.30 0.30 0.40 0.30 0.20 0.50 3 2 0
1573 67.27 66.36 0.40 0.40 0.20 0.30 0.40 0.30 3 1 0
1574 67.82 66.00 0.40 0.20 0.40 0.20 0.20 0.60 1 3 0
1575 66.64 70.55 0.10 0.30 0.60 0.30 0.10 0.60 1 3 1
1576 67.64 73.09 0.30 0.10 0.60 0.70 0.20 0.10 0 4 1
1577 69.73 69.64 0.70 0.30 0.00 0.60 0.10 0.30 2 2 1
1578 69.27 67.73 0.50 0.20 0.30 0.40 0.40 0.20 2 1 2
1579 64.64 66.18 0.10 0.30 0.60 0.60 0.20 0.20 3 2 0
1580 67.73 65.82 0.40 0.10 0.50 0.30 0.20 0.50 3 1 0
1581 61.82 65.18 0.10 0.00 0.90 0.20 0.30 0.50 1 1 0
1582 67.09 66.73 0.30 0.40 0.30 0.50 0.30 0.20 2 1 2
1583 69.73 66.00 0.60 0.20 0.20 0.20 0.30 0.50 2 1 2
1584 66.00 72.55 0.20 0.20 0.60 0.60 0.20 0.20 0 3 2
1585 73.55 73.91 0.70 0.00 0.30 0.50 0.40 0.10 0 2 3
1586 73.91 68.82 0.70 0.20 0.10 0.30 0.40 0.30 2 2 1
1587 70.27 66.82 0.30 0.20 0.50 0.30 0.10 0.60 3 1 1
1588 70.64 70.82 0.40 0.30 0.30 0.50 0.20 0.30 4 0 0
1589 65.82 64.09 0.30 0.40 0.30 0.30 0.20 0.50 1 2 1
1590 69.09 68.27 0.40 0.20 0.40 0.30 0.30 0.40 1 2 2
1591 65.18 68.45 0.20 0.10 0.70 0.40 0.20 0.40 3 1 1
1592 66.82 67.82 0.10 0.40 0.50 0.50 0.10 0.40 2 1 2
1593 73.27 67.36 0.50 0.40 0.10 0.20 0.30 0.50 4 0 1
1594 69.36 65.09 0.50 0.20 0.30 0.30 0.20 0.50 2 1 1
1595 68.82 73.91 0.40 0.10 0.50 0.70 0.20 0.10 2 1 2
1596 66.91 69.91 0.30 0.40 0.30 0.40 0.30 0.30 3 1 0
1597 68.09 73.27 0.30 0.30 0.40 0.70 0.00 0.30 1 3 1
1598 67.73 70.27 0.40 0.10 0.50 0.30 0.20 0.50 2 2 1
1599 64.09 69.27 0.30 0.20 0.50 0.40 0.40 0.20 1 2 2
1600 66.64 66.09 0.30 0.10 0.60 0.30 0.00 0.70 1 2 1
1601 72.73 65.91 0.70 0.00 0.30 0.30 0.20 0.50 3 1 0
1602 73.55 72.64 0.60 0.20 0.20 0.50 0.40 0.10 2 1 2
1603 70.36 68.73 0.20 0.20 0.60 0.40 0.40 0.20 2 2 1
1604 69.91 66.55 0.40 0.30 0.30 0.30 0.20 0.50 3 1 1
1605 70.09 68.09 0.50 0.40 0.10 0.60 0.20 0.20 2 2 1
1606 68.00 66.09 0.50 0.10 0.40 0.30 0.20 0.50 1 1 3
1607 66.91 68.09 0.20 0.10 0.70 0.20 0.30 0.50 1 1 3
1608 66.82 67.45 0.10 0.30 0.60 0.40 0.10 0.50 1 2 2
1609 73.55 68.00 0.40 0.40 0.20 0.50 0.20 0.30 3 1 1
1610 69.64 74.00 0.60 0.20 0.20 0.70 0.10 0.20 1 3 1
1611 67.18 70.18 0.40 0.10 0.50 0.30 0.20 0.50 2 2 1
1612 68.91 67.64 0.30 0.40 0.30 0.30 0.10 0.60 3 0 2
1613 66.27 69.09 0.20 0.20 0.60 0.40 0.40 0.20 1 1 2
1614 67.45 69.82 0.20 0.30 0.50 0.40 0.30 0.30 2 2 0
1615 66.18 72.55 0.20 0.30 0.50 0.80 0.00 0.20 0 5 0
1616 66.00 66.82 0.20 0.30 0.50 0.20 0.30 0.50 1 4 0
1617 72.91 68.00 0.80 0.00 0.20 0.40 0.50 0.10 3 0 2
1618 73.55 66.09 0.70 0.10 0.20 0.20 0.30 0.50 5 0 0
1619 70.09 67.64 0.30 0.30 0.40 0.30 0.20 0.50 3 1 1
1620 70.09 65.82 0.30 0.30 0.40 0.20 0.20 0.60 1 0 3
1621 68.36 68.09 0.40 0.20 0.40 0.40 0.20 0.40 3 0 2
1622 66.36 71.18 0.30 0.20 0.50 0.50 0.20 0.30 0 4 1
1623 66.82 67.64 0.30 0.20 0.50 0.20 0.50 0.30 1 3 1
1624 67.09 73.82 0.20 0.30 0.50 0.50 0.30 0.20 0 4 1
1625 74.09 73.73 0.80 0.00 0.20 0.70 0.10 0.20 1 2 2
1626 71.45 66.45 0.60 0.20 0.20 0.10 0.30 0.60 1 2 2
1627 67.55 73.82 0.30 0.20 0.50 0.50 0.30 0.20 0 1 4
